run_id,category,date,time_seconds,player,verified,platform,emulator
mre1j27y,ndx9y8rd,2014-05-06,2339,kjp1700j,True,Nintendo 64,True
oy2g5jzd,ndx9y8rd,2014-05-11,2247,7j42kvx1,True,Nintendo 64,False
oy2vxrwz,ndx9y8rd,2014-05-11,2233,7j4rv0d8,True,Nintendo 64,False
6yj1grny,ndx9y8rd,2014-05-11,2225,y8dwp3mj,True,Nintendo 64,True
7z0j5jy5,ndx9y8rd,2014-05-19,4557,7j42kvx1,True,Nintendo 64,False
y217p4jz,ndx9y8rd,2014-05-19,5044,kjp1700j,True,Nintendo 64,True
1zqg1n8m,ndx9y8rd,2014-05-25,4570,y8dwp3mj,True,Nintendo 64,True
kz51kpnm,ndx9y8rd,2014-06-01,2921,v8l2nrxm,True,Nintendo 64,True
0zno15ly,ndx9y8rd,2014-06-09,2303,18q6l0jn,True,Nintendo 64,False
8y8vxr1z,ndx9y8rd,2014-06-14,2460,pj0emm8w,True,Nintendo 64,False
8yv215em,ndx9y8rd,2014-06-16,4764,18q6l0jn,True,Nintendo 64,False
oy2g29zd,ndx9y8rd,2014-07-03,1789,zxz7r4jq,True,Nintendo 64,False
0y66d8jy,ndx9y8rd,2014-07-03,2035,kjpmk5jq,True,Nintendo 64,False
wzpwlryq,ndx9y8rd,2014-08-07,1770,kj963nj4,True,Nintendo 64,False
pydj00yn,ndx9y8rd,2014-08-11,4471,kj963nj4,True,Nintendo 64,False
pydn62jm,ndx9y8rd,2014-10-07,1948,qxkmy9j0,True,Nintendo 64,False
pydj2jyn,ndx9y8rd,2014-10-14,1901,48gr77xp,True,Nintendo 64,False
9me91o9z,ndx9y8rd,2015-03-11,4922,18qdooxn,True,Nintendo 64,True
1zx6658z,ndx9y8rd,2015-03-14,1862,0jmo32z8,True,Nintendo 64,False
dy41qwny,ndx9y8rd,2015-04-01,4498,zxz7r4jq,True,Nintendo 64,False
7z09qejz,ndx9y8rd,2015-04-21,4886,o863gw8z,True,Nintendo 64,False
8y8r275m,ndx9y8rd,2015-06-23,1712,48gpl18p,True,Nintendo 64,False
pzgv96ez,ndx9y8rd,2015-07-31,2633,1xydmvxr,True,Nintendo 64,True
kz508k5y,ndx9y8rd,2015-09-04,1730,zxz7r4jq,True,Nintendo 64,False
emk7w01y,ndx9y8rd,2015-09-10,4446,zxz7r4jq,True,Nintendo 64,False
nz186ewy,ndx9y8rd,2015-09-10,4723,pj0emm8w,True,Nintendo 64,False
kz50wqjy,ndx9y8rd,2015-09-11,4426,zxz7r4jq,True,Nintendo 64,False
7z06gv9z,ndx9y8rd,2015-09-18,1853,qj2yqko8,True,Nintendo 64,False
nz1r6v7m,ndx9y8rd,2015-10-16,4912,0jm36y81,True,Nintendo 64,False
kz5r8jgy,ndx9y8rd,2015-10-23,5401,e8e96q7j,True,Nintendo 64,False
jy99epey,ndx9y8rd,2015-10-31,2289,0jm36y81,True,Nintendo 64,False
8y8e1l1y,ndx9y8rd,2015-11-22,3006,68wl23jg,True,Nintendo 64,False
9yo6j8dy,ndx9y8rd,2015-11-22,2113,0jm36y81,True,Nintendo 64,False
6yj5ggom,ndx9y8rd,2015-11-29,2070,0jm36y81,True,Nintendo 64,False
8yvoqd4z,ndx9y8rd,2015-12-06,2011,0jm36y81,True,Nintendo 64,False
wzp8oovy,ndx9y8rd,2015-12-24,5567,68wl23jg,True,Nintendo 64,False
y8xvd1wm,ndx9y8rd,2016-02-02,4931,kjp1700j,True,Nintendo 64,False
oy2pw8jz,ndx9y8rd,2016-02-27,2602,18q340jn,True,Nintendo 64,True
kz5xn0gy,ndx9y8rd,2016-04-13,2442,qj26v7xk,True,Nintendo 64,False
dy4x48nz,ndx9y8rd,2016-04-15,2477,18q340jn,True,Nintendo 64,False
0znv6r8m,ndx9y8rd,2016-06-29,4815,18q0lojn,True,Nintendo 64,False
pzg8qlny,ndx9y8rd,2016-07-22,1913,98rp5qgj,True,Nintendo 64,False
2ywnxd0y,ndx9y8rd,2016-07-28,1912,kjpmk5jq,True,Nintendo 64,False
0znego3z,ndx9y8rd,2016-07-31,1677,48gpl18p,True,Nintendo 64,False
6yjwqpdm,ndx9y8rd,2016-07-31,5107,qjo3m57j,True,Nintendo 64,True
9yoo53dy,ndx9y8rd,2016-08-01,5027,qjo3m57j,True,Nintendo 64,True
9me0d10z,ndx9y8rd,2016-08-03,5007,qjo3m57j,True,Nintendo 64,True
1zqdoerm,ndx9y8rd,2016-08-04,2233,68wlq9vj,True,Nintendo 64,True
8y8k715y,ndx9y8rd,2016-08-05,4599,68wpvvxg,True,Nintendo 64,False
0znedo8z,ndx9y8rd,2016-08-06,4574,18q0lojn,True,Nintendo 64,False
8y8k5d5y,ndx9y8rd,2016-08-06,1894,kjpmk5jq,True,Nintendo 64,False
7yllg6ny,ndx9y8rd,2016-08-06,2132,18q340jn,True,Nintendo 64,False
dy4kpl3m,ndx9y8rd,2016-08-06,4958,qjo3m57j,True,Nintendo 64,True
0y6qknpz,ndx9y8rd,2016-08-07,1666,48gpl18p,True,Nintendo 64,False
7z0dwgoy,ndx9y8rd,2016-08-08,2508,qxk4np9j,True,Nintendo 64,False
emkp233y,ndx9y8rd,2016-08-08,2174,kj962mwj,True,Nintendo 64,True
0y6vpopm,ndx9y8rd,2016-08-09,2383,qxk4np9j,True,Nintendo 64,False
0y6vpvpm,ndx9y8rd,2016-08-09,5106,18v5q65j,True,Nintendo 64,False
