run_id,category,date,time_seconds,player,verified,platform,emulator
2ywq113y,wkpoo02r,,6559,48gryyxp,True,Xbox,False
oy2wo5yd,wkpoo02r,,6957,18vomvxl,True,Xbox,False
7ylx8nyp,wkpoo02r,,7053,kj9rv7j4,True,Xbox,False
kz5g95mr,wkpoo02r,,7169,18vyq58l,True,Xbox,False
8yvxwozo,wkpoo02r,,7308,y8d4ng86,True,Xbox,False
8y8o3dm1,wkpoo02r,,9035,kjp6pz58,True,Xbox,False
wzpknvyq,wkpoo02r,,12266,v18q90jn,True,Xbox,False
7z08q4m5,wkpoo02r,,6544,e8eepzo8,True,nzelreqp,False
oy2nn9yd,wkpoo02r,,7113,zx7qg687,True,nzelreqp,False
0y6ggpm7,wkpoo02r,,7342,o863r08z,True,nzelreqp,False
8yvnn6mo,wkpoo02r,,8134,qxk4pmj0,True,nzelreqp,False
wzpk7xyq,wkpoo02r,,6912,48gyr78p,True,Xbox,True
pydvkvyn,wkpoo02r,,6959,qj26mlxk,True,Xbox,True
jy9p4em4,wkpoo02r,,6990,zx7w5y87,True,Xbox,True
emkojxz6,wkpoo02r,,7039,e8el6oj0,True,Xbox,True
9mr03gmq,wkpoo02r,,7110,18ql07jn,True,Xbox,True
kz5w55zr,wkpoo02r,,7133,zx77v7rx,True,Xbox,True
dy4n93ml,wkpoo02r,,7159,qjooplj6,True,Xbox,True
oy2895yd,wkpoo02r,,7194,o863r08z,True,Xbox,True
9me2v0m7,wkpoo02r,,7735,pj0v4rxw,True,Xbox,True
wzponxmq,wkpoo02r,,7788,e8ekrvd8,True,Xbox,True
1zx09ezx,wkpoo02r,,9058,kj9250w8,True,Xbox,True
1zx3r98z,wkpoo02r,,6582,48gev4rj,True,Xbox,True
pzgqxvjy,wkpoo02r,,6897,e8e6k12j,True,Xbox,False
8yvoxpoz,wkpoo02r,,6811,qjoe6e86,True,Xbox,False
8y8op5m1,wkpoo02r,2011-10-03,6779,48gr9rpx,True,nzelreqp,False
0zn917ly,wkpoo02r,2011-12-28,6430,dx351yqj,True,Xbox,False
pydlxvzn,wkpoo02r,2012-06-18,6817,8l00pll8,True,Xbox,False
8y8odjnm,wkpoo02r,2012-08-05,6383,dx351yqj,True,Xbox,False
0y6gdnjm,wkpoo02r,2012-08-07,6381,dx351yqj,True,Xbox,False
7z08ro8m,wkpoo02r,2012-08-09,6335,dx351yqj,True,Xbox,False
1zq2108z,wkpoo02r,2012-09-02,6292,dx351yqj,True,Xbox,False
oy2nx0wy,wkpoo02r,2012-10-15,6263,dx351yqj,True,Xbox,False
9megr0y7,wkpoo02r,2012-10-28,7736,zx7yqrx7,True,Xbox,True
pzgx3wjm,wkpoo02r,2013-01-02,8307,qjo3pe3j,True,Xbox,False
dy4jr8ky,wkpoo02r,2013-01-30,6241,dx351yqj,True,Xbox,False
0zn9d7yn,wkpoo02r,2013-02-20,6566,zx7dpyx7,True,Xbox,True
mkddwr1y,wkpoo02r,2013-03-10,8709,p18vz2jl,True,Xbox,False
8yvnwomo,wkpoo02r,2013-03-12,6405,pj0e6nm8,True,Xbox,True
wzpxjxmq,wkpoo02r,2013-04-08,7099,qj26pqnx,True,Xbox,False
pydv8xyn,wkpoo02r,2013-04-25,13353,e8e79ox0,True,Xbox,False
8y8lwnm1,wkpoo02r,2013-05-14,9749,98r22gx1,True,nzelreqp,False
emk362lz,wkpoo02r,2013-06-21,11803,dx3op2xl,True,nzelreqp,False
0y64lwqm,wkpoo02r,2013-07-23,8843,qj23qnxk,True,nzelreqp,False
7z0q49m5,wkpoo02r,2013-08-14,6599,xz9k6ye8,True,Xbox,False
dy4jlnyl,wkpoo02r,2013-08-18,6217,pj0e6nm8,True,nzelreqp,False
pm3wjwy0,wkpoo02r,2013-08-19,6202,dx351yqj,True,nzelreqp,False
jy98jp2z,wkpoo02r,2013-09-10,7983,e8ekrvd8,True,Xbox,False
dy4ld3zl,wkpoo02r,2013-09-30,6946,o866w58z,True,Xbox,False
9yox80yx,wkpoo02r,2013-11-03,6472,y8d4po86,True,Xbox,False
9menr0m7,wkpoo02r,2013-11-08,6854,y8dwdegj,True,Xbox,True
9mrxwgmq,wkpoo02r,2013-11-29,6567,48gr9rpx,True,Xbox,False
pm3jpdz0,wkpoo02r,2014-01-01,6938,v8lez14x,True,Xbox,False
2ywwl3y4,wkpoo02r,2014-02-22,6545,o862d3xz,True,Xbox,True
8yv7k36y,wkpoo02r,2014-02-25,8418,qj2ypko8,True,Xbox,True
zn85e68z,wkpoo02r,2014-03-06,8322,zx76v0j7,True,Xbox,False
y8qnkn5y,wkpoo02r,2014-03-10,8079,zx76v0j7,True,Xbox,False
zq65d55y,wkpoo02r,2014-03-21,7843,zx76v0j7,True,Xbox,False
m37g7k4z,wkpoo02r,2014-03-22,7430,qxkm6mj0,True,Xbox,False
nz1n47ye,wkpoo02r,2014-04-02,6858,qj26mlxk,True,Xbox,False
2yw09q9m,wkpoo02r,2014-04-02,7136,18qnw78n,True,Xbox,False
9yoxw0yx,wkpoo02r,2014-04-07,7098,qj26qnxk,True,Xbox,False
y47e7kdy,wkpoo02r,2014-04-14,7271,qxkm6mj0,True,Xbox,False
mk4rqrvy,wkpoo02r,2014-04-15,7753,zx76v0j7,True,Xbox,False
z137k7gm,wkpoo02r,2014-04-16,7660,zx76v0j7,True,Xbox,False
ydqo2owm,wkpoo02r,2014-04-19,7597,zx76v0j7,True,Xbox,False
y27d729z,wkpoo02r,2014-04-22,7160,qxkm6mj0,True,Xbox,False
7z0q2em5,wkpoo02r,2014-04-23,6233,dx351yqj,True,Xbox,False
zpq5p58y,wkpoo02r,2014-04-23,7527,zx76v0j7,True,Xbox,False
yo45o57m,wkpoo02r,2014-04-24,7337,zx76v0j7,True,Xbox,False
z0797dey,wkpoo02r,2014-04-27,6963,qxkm6mj0,True,Xbox,False
pzg6enm2,wkpoo02r,2014-04-30,7062,0jmpgoj1,True,nzelreqp,False
y69r9vpy,wkpoo02r,2014-05-04,6906,qxkm6mj0,True,Xbox,False
0y6j36m7,wkpoo02r,2014-05-04,7302,kjp9p28q,True,Xbox,True
m3n345gy,wkpoo02r,2014-05-04,7190,e8e6edj0,True,Xbox,False
yl95l5ky,wkpoo02r,2014-05-07,7239,zx76v0j7,True,Xbox,False
yjk7w73m,wkpoo02r,2014-05-10,7184,zx76v0j7,True,Xbox,False
9meg50y7,wkpoo02r,2014-05-12,6732,o863r08z,True,Xbox,False
nz13139m,wkpoo02r,2014-05-17,10754,pj03orjw,True,Xbox,True
pzgw4d0y,wkpoo02r,2014-05-18,15200,e8e937j0,True,nzelreqp,False
zn85e58z,wkpoo02r,2014-05-21,7024,zx76v0j7,True,Xbox,False
2yw2e3y4,wkpoo02r,2014-05-22,7471,48g50rjp,True,Xbox,True
oy23k65m,wkpoo02r,2014-05-22,13907,qxkp49j0,True,Xbox,False
7ylpoprm,wkpoo02r,2014-05-22,6222,48gev4rj,True,Xbox,False
yl98o1ry,wkpoo02r,2014-05-25,7564,v814mkp8,True,nzelreqp,False
y27d725z,wkpoo02r,2014-05-31,6817,qxkm6mj0,True,Xbox,False
1zx3j8ez,wkpoo02r,2014-06-04,10555,zxzlqn8q,True,Xbox,False
mekq913m,wkpoo02r,2014-06-05,7187,v814mkp8,True,nzelreqp,False
emk6vrxz,wkpoo02r,2014-06-07,8659,zx7gkrx7,True,Xbox,False
nz1eq77y,wkpoo02r,2014-06-07,8273,zx7gkrx7,True,Xbox,False
9menn3m7,wkpoo02r,2014-06-08,16155,5j5vrg8v,True,nzelreqp,False
yo4w9ddm,wkpoo02r,2014-06-10,6899,v814mkp8,True,nzelreqp,False
pyd7govy,wkpoo02r,2014-06-11,8193,zx7gkrx7,True,Xbox,False
y8v842wz,wkpoo02r,2014-06-21,7078,e8e6edj0,True,Xbox,False
9yowl50z,wkpoo02r,2014-06-21,8023,zx7gkrx7,True,Xbox,False
zgxp0w0m,wkpoo02r,2014-06-24,7020,e8e6edj0,True,Xbox,False
pzgjjdz2,wkpoo02r,2014-06-24,14874,48go67xp,True,nzelreqp,False
0y69r2jy,wkpoo02r,2014-06-24,25366,y8d44o86,True,Xbox,True
pm320wy0,wkpoo02r,2014-06-26,14746,y8d44o86,True,Xbox,True
9meqep0m,wkpoo02r,2014-07-04,7977,zx7gkrx7,True,Xbox,False
wzpqqj8y,wkpoo02r,2014-07-05,10020,68wldqjg,True,nzelreqp,False
zp39elnm,wkpoo02r,2014-07-06,6872,e8e6edj0,True,Xbox,False
y97rnxkm,wkpoo02r,2014-07-06,6689,v814mkp8,True,nzelreqp,False
pydovwzn,wkpoo02r,2014-07-07,11895,0jmlme81,True,nzelreqp,False
6yje1egm,wkpoo02r,2014-07-09,6218,48gev4rj,True,Xbox,False
1zx3regz,wkpoo02r,2014-07-12,7960,jo326wlj,True,Xbox,False
2yww0w0y,wkpoo02r,2014-07-15,6215,48gev4rj,True,Xbox,False
oy2nw6yd,wkpoo02r,2014-07-18,6505,v814mkp8,True,nzelreqp,False
9mrxggmq,wkpoo02r,2014-07-19,7175,o86neqxz,True,Xbox,False
0zn9o93y,wkpoo02r,2014-07-20,6195,48gev4rj,True,Xbox,False
7yl8n5nz,wkpoo02r,2014-07-24,7808,zx7gkrx7,True,Xbox,False
8y8ovo1m,wkpoo02r,2014-07-25,6182,48gev4rj,True,Xbox,False
0y6g6gpm,wkpoo02r,2014-07-28,6181,48gev4rj,True,Xbox,False
2yw9v53m,wkpoo02r,2014-07-30,7703,zx7gkrx7,True,Xbox,False
dy4n53ml,wkpoo02r,2014-08-02,11222,5j5vrg8v,True,Xbox,True
zxv1685y,wkpoo02r,2014-08-04,6480,v814mkp8,True,Xbox,True
7z0868em,wkpoo02r,2014-08-04,6179,48gev4rj,True,Xbox,False
9yoqv5zx,wkpoo02r,2014-08-10,12050,dx3z9ejl,True,Xbox,False
1zq2gqxz,wkpoo02r,2014-08-16,6177,48gev4rj,True,Xbox,False
y69r9v6y,wkpoo02r,2014-08-17,6729,qxkm6mj0,True,Xbox,False
nz1nw7ye,wkpoo02r,2014-08-18,7849,48gev07j,True,Xbox,False
8y8o5dm1,wkpoo02r,2014-08-22,6403,v814mkp8,True,Xbox,True
8yvd884y,wkpoo02r,2014-08-26,7396,zx7gkrx7,True,Xbox,False
z0ekx04m,wkpoo02r,2014-08-30,6856,zx76v0j7,True,Xbox,False
0znvnwlm,wkpoo02r,2014-09-04,12358,48gz7yjp,True,nzelreqp,False
y45d2xdm,wkpoo02r,2014-09-04,7337,v814mkp8,True,Xbox,False
kz5ro15y,wkpoo02r,2014-09-05,7063,zx7vky6x,True,Xbox,False
y23ovj9m,wkpoo02r,2014-09-12,6587,v814mkp8,True,Xbox,False
dy4j2ldy,wkpoo02r,2014-09-14,6175,48gev4rj,True,Xbox,False
7z0gnk9y,wkpoo02r,2014-09-14,7314,zx7gkrx7,True,Xbox,False
yo9pg31y,wkpoo02r,2014-09-17,6663,e8e6edj0,True,Xbox,False
yvo9oloz,wkpoo02r,2014-09-21,6708,qxkm6mj0,True,Xbox,False
pm3wnj4y,wkpoo02r,2014-09-24,6161,48gev4rj,True,Xbox,False
2ywxo3m4,wkpoo02r,2014-09-25,6355,18ql07jn,True,Xbox,False
zxv5w0qy,wkpoo02r,2014-09-25,6852,zx76v0j7,True,Xbox,False
m79v3l0y,wkpoo02r,2014-10-02,6849,zx76v0j7,True,Xbox,False
8y870n1z,wkpoo02r,2014-10-02,7241,zx7gkrx7,True,Xbox,False
y97wkevm,wkpoo02r,2014-10-04,6830,zx76v0j7,True,Xbox,False
ydqo24wm,wkpoo02r,2014-10-04,6830,zx76v0j7,True,Xbox,False
0y6e46z7,wkpoo02r,2014-10-06,6619,zx76v0j7,True,Xbox,False
8y8pldz1,wkpoo02r,2014-10-11,6343,v81q6w3j,True,Xbox,False
8y870x5z,wkpoo02r,2014-10-11,7212,zx7gkrx7,True,Xbox,False
1zqqorzl,wkpoo02r,2014-10-12,6597,y8dwdegj,True,Xbox,False
y8q7v01y,wkpoo02r,2014-10-15,6449,v814mkp8,True,Xbox,False
pzgo1em2,wkpoo02r,2014-10-20,6411,18vmme8l,True,Xbox,False
8y8p4dz1,wkpoo02r,2014-10-21,6652,e8e6edj0,True,Xbox,False
0y61o8pm,wkpoo02r,2014-10-21,7179,zx7gkrx7,True,Xbox,False
zn8noj3z,wkpoo02r,2014-10-24,6342,v814mkp8,True,Xbox,False
pydl7vzn,wkpoo02r,2014-11-01,7100,zxzzzrxq,True,Xbox,False
pm3plv4z,wkpoo02r,2014-11-02,7107,zx7gkrx7,True,Xbox,False
pyd48vyn,wkpoo02r,2014-11-05,7334,qjnp448m,True,Xbox,True
yw190v0z,wkpoo02r,2014-11-09,6315,v814mkp8,True,Xbox,False
jy9dgem4,wkpoo02r,2014-11-14,6504,0jm7n3nj,True,Xbox,False
7z0q29m5,wkpoo02r,2014-11-24,6305,v814mkp8,True,Xbox,False
pzgj4ez2,wkpoo02r,2014-11-24,6818,v8lgq7jm,True,Xbox,True
kz5qewnz,wkpoo02r,2014-11-28,7079,zx7gkrx7,True,Xbox,False
mekq9e3m,wkpoo02r,2014-12-03,6288,v814mkp8,True,Xbox,False
1zq2q5zl,wkpoo02r,2014-12-04,6233,dx39wqxl,True,nzelreqp,False
yo4w9ldm,wkpoo02r,2014-12-05,6271,v814mkp8,True,Xbox,False
0y6vkl1m,wkpoo02r,2014-12-06,6882,48gyr78p,True,Xbox,True
8y8p7dz1,wkpoo02r,2014-12-10,6934,kjpk4kxq,True,Xbox,False
pzgnw60y,wkpoo02r,2014-12-11,7827,qjn9dwxm,True,nzelreqp,False
jy971xem,wkpoo02r,2014-12-11,7028,0jmpgoj1,True,nzelreqp,False
7yl9vnxy,wkpoo02r,2014-12-13,7836,qxk4pmj0,True,nzelreqp,False
1zxvlk8y,wkpoo02r,2014-12-13,9541,y8d4z986,True,Xbox,False
dy45rk3m,wkpoo02r,2014-12-16,7431,qxk4pmj0,True,nzelreqp,False
kz5l0gny,wkpoo02r,2014-12-18,6152,48gev4rj,True,Xbox,False
ydq79gjm,wkpoo02r,2014-12-20,6232,v814mkp8,True,Xbox,False
9mrlp34m,wkpoo02r,2014-12-20,8475,v8149o58,True,Xbox,False
jy97l42m,wkpoo02r,2014-12-22,7276,y8d4ng86,True,Xbox,False
kz5o24jy,wkpoo02r,2014-12-22,11706,68wkwz8g,True,nzelreqp,False
0y670q6m,wkpoo02r,2014-12-23,6296,18ql07jn,True,Xbox,False
jy97x5nm,wkpoo02r,2014-12-25,7693,qjn9dwxm,True,nzelreqp,False
7yl97lny,wkpoo02r,2014-12-31,6574,18vo42xl,True,Xbox,False
7z06268z,wkpoo02r,2015-01-01,6620,48gryyxp,True,Xbox,False
zn03027y,wkpoo02r,2015-01-02,6586,qxkm6mj0,True,Xbox,False
mekp029m,wkpoo02r,2015-01-02,6586,zx76v0j7,True,Xbox,False
ywkdkg3y,wkpoo02r,2015-01-03,6482,qxkm6mj0,True,Xbox,False
8y8ejrdy,wkpoo02r,2015-01-04,6657,v8lz34xm,True,Xbox,False
