run_id,category,date,time_seconds,player,verified,platform,emulator
6yjk35dm,n2y1y72o,,609.86,zxz9mn08,True,Nintendo 64,False
zxv32qqy,n2y1y72o,2004-04-28,684.85,e8e7w77x,True,Nintendo 64,False
mk403pvy,n2y1y72o,2007-11-13,660.8,qjn2k4jm,True,Nintendo 64,False
y8q62k5y,n2y1y72o,2011-08-17,644.96,e8ezq968,True,Nintendo 64,False
nz1q9r7y,n2y1y72o,2011-09-18,675.21,18v9nexl,True,Nintendo 64,False
z13r9q9m,n2y1y72o,2012-01-01,746.999,v81v338p,True,Nintendo 64,False
z5rve6jy,n2y1y72o,2012-01-25,901.0,8r79kkdj,True,Nintendo 64,True
y23g5k6m,n2y1y72o,2012-03-07,634.748,7j4n6lx1,True,Nintendo 64,False
y45owknm,n2y1y72o,2012-08-13,629.63,7j4n6lx1,True,Nintendo 64,False
mek5qwqm,n2y1y72o,2012-09-07,629.57,e8ezq968,True,Nintendo 64,False
pydjp6wy,n2y1y72o,2012-11-07,681.999,18q0lojn,True,Nintendo 64,False
jy928xkz,n2y1y72o,2013-01-01,690.999,y8d7pm86,True,Nintendo 64,True
2ywjjn2z,n2y1y72o,2013-01-12,793.0,qxk3zm80,True,Nintendo 64,True
jy93qwey,n2y1y72o,2013-01-20,671.21,zx7qoq08,True,Nintendo 64,False
7z0qrjm5,n2y1y72o,2013-02-02,652.999,68wlrqjg,True,Nintendo 64,False
9mrql97y,n2y1y72o,2013-02-08,693.68,v8lp3rjm,True,Nintendo 64,True
1zq1r6rm,n2y1y72o,2013-02-24,769.14,98rp1y3j,True,Nintendo 64,True
z01qk0jy,n2y1y72o,2013-04-16,1178.0,48go54px,True,Nintendo 64,True
9me2318m,n2y1y72o,2013-04-27,798.0,18vkq2jl,True,NES,False
6yj365dz,n2y1y72o,2013-05-22,726.9,5j59lzxv,True,nzelreqp,False
zpqd8ory,n2y1y72o,2013-06-10,637.72,kjp96508,True,Nintendo 64,True
9mrw4ody,n2y1y72o,2013-07-01,648.76,o866mnp8,True,Nintendo 64,False
pzgkd2ey,n2y1y72o,2013-08-15,683.2,0jmoko81,True,Nintendo 64,False
0y643pm7,n2y1y72o,2013-10-27,695.48,0jmlpz81,True,Nintendo 64,False
0zn23olz,n2y1y72o,2013-10-27,970.0,68wlozvj,True,Nintendo 64,True
1zqqv49z,n2y1y72o,2013-10-30,661.06,qj2yyn8k,True,Nintendo 64,False
jy9gpvm4,n2y1y72o,2013-11-01,712.999,qj2w9ojk,True,Nintendo 64,False
oy21rxjz,n2y1y72o,2013-12-01,757.63,dx3qv2jl,True,Nintendo 64,True
pzgdkovz,n2y1y72o,2013-12-10,657.52,qxkoe428,True,Nintendo 64,True
7z0odl9z,n2y1y72o,2013-12-16,648.99,zx7qm908,True,Nintendo 64,False
wzpql6vy,n2y1y72o,2013-12-31,712.6,0jmpgoj1,True,nzelreqp,False
pm3xg44m,n2y1y72o,2013-12-31,824.0,v8166gqx,True,Nintendo 64,True
nz1o8r7m,n2y1y72o,2014-01-01,696.999,o863op8z,True,Nintendo 64,False
0zn43o3m,n2y1y72o,2014-01-15,663.55,0jmyqyj1,True,Nintendo 64,False
8y8qr4ny,n2y1y72o,2014-01-16,651.999,e8e937j0,True,nzelreqp,False
m79ox94y,n2y1y72o,2014-01-30,650.551,v8l07zl8,True,Nintendo 64,True
oy21d05z,n2y1y72o,2014-02-08,813.0,v48gerjp,True,nzelreqp,False
yw1eo0nz,n2y1y72o,2014-02-08,703.5,o86420wj,True,Nintendo 64,True
pzgdqpjz,n2y1y72o,2014-02-17,675.43,y8dr39x6,True,nzelreqp,False
yjkdd1dm,n2y1y72o,2014-02-26,699.8,qj22qzlj,True,Nintendo 64,True
2yw2740y,n2y1y72o,2014-03-03,807.0,qj2ypko8,True,Nintendo 64,False
0y66ej0y,n2y1y72o,2014-03-09,703.15,1xyqkm8r,True,Nintendo 64,True
9yon80zx,n2y1y72o,2014-03-10,774.8,zxz764jq,True,Nintendo 64,False
emk34rvz,n2y1y72o,2014-03-16,756.29,dx3pk28l,True,nzelreqp,False
6yjv57yd,n2y1y72o,2014-03-24,727.24,kjpmwkjq,True,nzelreqp,False
0zn7v6lm,n2y1y72o,2014-03-25,661.8,kj92nor8,True,Nintendo 64,False
9meox59z,n2y1y72o,2014-03-26,639.0,o86v9pjz,True,Nintendo 64,False
mrqwd68y,n2y1y72o,2014-03-30,928.0,dx3gg78l,True,Nintendo 64,False
7z0ep8om,n2y1y72o,2014-04-05,1445.23,v81095xp,True,Nintendo 64,True
dy4531dm,n2y1y72o,2014-04-06,638.51,v8lrgl8m,True,nzelreqp,False
2ywd34pz,n2y1y72o,2014-04-13,689.43,pj0ylrxw,True,Nintendo 64,True
7z0pgk9y,n2y1y72o,2014-05-01,632.83,zx7q5087,True,Nintendo 64,False
jy972gnm,n2y1y72o,2014-06-01,919.0,18q3l0jn,True,Nintendo 64,True
9mrkgwdy,n2y1y72o,2014-06-02,649.06,7j424wx1,True,Nintendo 64,False
0y60186y,n2y1y72o,2014-06-03,626.9,y8dwqmj6,True,Nintendo 64,False
nz1x52jm,n2y1y72o,2014-06-09,652.6,qjnzw4jm,True,Nintendo 64,False
z13l5kgm,n2y1y72o,2014-06-13,622.02,zx723r87,True,Nintendo 64,False
zgnew8vy,n2y1y72o,2014-06-14,612.8,7j4n6lx1,True,Nintendo 64,False
meklo09m,n2y1y72o,2014-06-14,618.9,zx723r87,True,Nintendo 64,False
yjk2lw3m,n2y1y72o,2014-06-14,609.7,zx723r87,True,Nintendo 64,False
yw1r8npz,n2y1y72o,2014-06-14,607.2,zx723r87,True,Nintendo 64,False
yl96klky,n2y1y72o,2014-06-14,611.5,7j4n6lx1,True,Nintendo 64,False
ylokg4ry,n2y1y72o,2014-06-15,1014.0,qj29znxk,True,Nintendo 64,True
yvgp6v4y,n2y1y72o,2014-06-15,603.5,y8dwqmj6,True,Nintendo 64,False
y8q6265y,n2y1y72o,2014-06-19,599.76,7j4n6lx1,True,Nintendo 64,False
z0ej5j4m,n2y1y72o,2014-06-20,596.73,7j4n6lx1,True,Nintendo 64,False
emk9nwvz,n2y1y72o,2014-06-23,789.0,zxz27exq,True,Nintendo 64,True
9yo4j60m,n2y1y72o,2014-06-29,616.82,0jmp74j1,True,Nintendo 64,False
1zqq78zl,n2y1y72o,2014-06-30,653.92,dx3mw78l,True,Nintendo 64,True
y23g5g6m,n2y1y72o,2014-07-09,591.69,7j4n6lx1,True,Nintendo 64,False
9mrq9p7y,n2y1y72o,2014-07-10,677.56,7j4vzlj1,True,Nintendo 64,True
nz161n7m,n2y1y72o,2014-07-10,776.81,qxk4m66j,True,Nintendo 64,True
m3dq5qwz,n2y1y72o,2014-07-11,588.965,qjn5p2jm,True,Nintendo 64,False
2yw14k3z,n2y1y72o,2014-07-19,608.67,zx721gv8,True,Nintendo 64,True
9yok360z,n2y1y72o,2014-07-28,741.75,pj0rw9jw,True,Nintendo 64,True
dy43op2z,n2y1y72o,2014-08-10,719.62,98r56wx1,True,Nintendo 64,True
nz16w7me,n2y1y72o,2014-08-25,615.53,kj96nwj4,True,Nintendo 64,False
pzgnkrey,n2y1y72o,2014-08-26,591.12,y8dwqmj6,True,Nintendo 64,False
0y6210z7,n2y1y72o,2014-08-29,608.3,zx7q5087,True,Nintendo 64,False
ywpx280z,n2y1y72o,2014-09-04,617.04,68wl65vj,True,Nintendo 64,True
yd62dqjz,n2y1y72o,2014-09-06,797.0,v8l66r8m,True,Nintendo 64,True
8m7234wz,n2y1y72o,2014-09-06,711.1,dx3qrr7j,True,Nintendo 64,False
yl99lnky,n2y1y72o,2014-09-08,633.5,qjn2k4jm,True,Nintendo 64,False
zp4p9qgz,n2y1y72o,2014-09-09,752.047,v8l66r8m,True,Nintendo 64,True
8y8q1edy,n2y1y72o,2014-09-15,597.87,qjn74w8m,True,Nintendo 64,False
zq6jwj5y,n2y1y72o,2014-09-22,590.97,zx723r87,True,Nintendo 64,False
pyd593jm,n2y1y72o,2014-09-27,722.802,qj2pgp8k,True,Nintendo 64,False
y45owonm,n2y1y72o,2014-09-29,590.14,zx723r87,True,Nintendo 64,False
0y6j2jm7,n2y1y72o,2014-09-30,723.6,qjo21e86,True,Nintendo 64,False
zpl5k8xm,n2y1y72o,2014-10-04,631.799,j2wwg6pj,True,Nintendo 64,False
yojop4dm,n2y1y72o,2014-10-05,715.071,v8l66r8m,True,Nintendo 64,True
0znvlvmn,n2y1y72o,2014-10-07,589.46,zx723r87,True,Nintendo 64,False
mk4p9g5y,n2y1y72o,2014-10-20,779.87,zx7eelr8,True,Nintendo 64,False
0zn8jnvz,n2y1y72o,2014-10-26,750.93,kjp6e48q,True,nzelreqp,False
1zq6rvry,n2y1y72o,2014-11-01,590.535,18v6n5xl,True,Nintendo 64,False
jy900ney,n2y1y72o,2014-11-05,794.75,dx3rr7xl,True,Nintendo 64,False
dy4rj2nz,n2y1y72o,2014-11-05,794.38,dx3rr7xl,True,Nintendo 64,False
8yvg3ooy,n2y1y72o,2014-11-17,599.87,qj23o6xk,True,Nintendo 64,False
2ywr7nm4,n2y1y72o,2014-11-22,588.98,7j4n6lx1,True,Nintendo 64,False
7yl2n3zp,n2y1y72o,2014-11-29,693.0,68wl23jg,True,Nintendo 64,False
8yvg388y,n2y1y72o,2014-12-09,603.76,zx7q5087,True,Nintendo 64,False
kz5ordny,n2y1y72o,2014-12-18,836.0,18v57vjl,True,Nintendo 64,False
8yvgopoy,n2y1y72o,2014-12-19,589.2,y8dwqmj6,True,Nintendo 64,False
emk920lz,n2y1y72o,2014-12-21,666.75,v8l66r8m,True,Nintendo 64,False
9mrq577y,n2y1y72o,2014-12-23,599.07,zx7q5087,True,Nintendo 64,False
9mekx40m,n2y1y72o,2014-12-31,607.377,kj96nwj4,True,Nintendo 64,False
yw1x632z,n2y1y72o,2015-01-10,641.11,qxknr17x,True,Nintendo 64,True
8m779n0m,n2y1y72o,2015-01-16,759.61,o86vw9qj,True,NES,False
jy9lgqry,n2y1y72o,2015-01-20,787.0,5j5v2q8v,True,Nintendo 64,True
z5opjpgy,n2y1y72o,2015-01-20,588.107,qjn5p2jm,True,Nintendo 64,False
8m70l4y0,n2y1y72o,2015-01-23,587.587,qjn5p2jm,True,Nintendo 64,False
emk3x73z,n2y1y72o,2015-01-24,594.5,7j425vx1,True,Nintendo 64,False
dy432l2z,n2y1y72o,2015-01-26,641.539,e8e52p80,True,Nintendo 64,True
nz1508jy,n2y1y72o,2015-01-27,589.2,18v6n5xl,True,Nintendo 64,False
1zx6rj5z,n2y1y72o,2015-01-31,703.999,zxzy5rjq,True,Nintendo 64,True
wzp8epgy,n2y1y72o,2015-02-02,599.77,qjn3012x,True,Nintendo 64,False
jy920rnz,n2y1y72o,2015-02-07,725.13,48g9yrxp,True,Nintendo 64,False
8y899vdm,n2y1y72o,2015-02-08,695.256,5j5r5nxv,True,Nintendo 64,False
pzg8kxny,n2y1y72o,2015-02-10,627.75,48gekr7j,True,Nintendo 64,True
kz51j7nm,n2y1y72o,2015-02-11,700.62,v81qe5jp,True,nzelreqp,False
0y672d1m,n2y1y72o,2015-02-16,701.0,18q340jn,True,Nintendo 64,True
oy2dgv6z,n2y1y72o,2015-02-18,705.0,1xyv7yxr,True,Nintendo 64,True
2yw4xo3z,n2y1y72o,2015-02-20,709.21,48g4518p,True,Nintendo 64,False
jy928dez,n2y1y72o,2015-02-21,669.0,v81vd58p,True,Nintendo 64,True
jy9753em,n2y1y72o,2015-02-22,613.81,18v52n5j,True,Nintendo 64,True
6yj4e7dy,n2y1y72o,2015-02-27,643.31,qxknr2x0,True,Nintendo 64,True
0zn4lg8m,n2y1y72o,2015-03-08,664.33,v8l66r8m,True,Nintendo 64,False
z06q984z,n2y1y72o,2015-03-11,691.0,18v56oej,True,Nintendo 64,True
8m7qg74z,n2y1y72o,2015-03-22,737.0,18qgvdxn,True,Nintendo 64,True
9mrk4kdy,n2y1y72o,2015-03-26,840.0,e8e4rpx0,True,Nintendo 64,False
dy417o3y,n2y1y72o,2015-03-29,753.5,qj2576jk,True,Nintendo 64,False
dy4182dy,n2y1y72o,2015-03-29,782.9,1xypqwxr,True,nzelreqp,False
oy23lo9m,n2y1y72o,2015-04-03,689.74,zxzy5rjq,True,Nintendo 64,True
7z01n38y,n2y1y72o,2015-04-05,756.69,1xypqwxr,True,nzelreqp,False
2yw4v72z,n2y1y72o,2015-04-08,719.5,18qgvdxn,True,Nintendo 64,True
8m7847wz,n2y1y72o,2015-04-10,641.04,qjn5p2jm,True,Nintendo 64,False
7z01d18y,n2y1y72o,2015-04-13,656.76,v8l66r8m,True,Nintendo 64,False
wzp4ek8z,n2y1y72o,2015-04-15,761.0,kjpepyxq,True,Nintendo 64,True
8m78d69z,n2y1y72o,2015-04-27,628.1,18v56oej,True,Nintendo 64,False
kz5jo6gm,n2y1y72o,2015-05-05,714.999,qj2576jk,True,Nintendo 64,False
dy4e2nkm,n2y1y72o,2015-05-10,628.73,e8eqqd80,True,Nintendo 64,True
9mrk6x8y,n2y1y72o,2015-05-12,669.96,v81dmq8p,True,Nintendo 64,True
oy25p3wy,n2y1y72o,2015-05-24,693.7,68wvv4xg,True,Nintendo 64,True
7z0620ez,n2y1y72o,2015-05-24,711.7,zx7q7d68,True,Nintendo 64,True
8m7dkoem,n2y1y72o,2015-05-25,688.0,68wl23jg,True,Nintendo 64,False
jy90x0vy,n2y1y72o,2015-05-27,781.11,v8ll4v8m,True,Nintendo 64,False
8m7g050m,n2y1y72o,2015-05-28,650.07,v8l66r8m,True,Nintendo 64,False
0znkvx7z,n2y1y72o,2015-06-02,776.49,v8ll4v8m,True,Nintendo 64,False
kz5jo4gm,n2y1y72o,2015-06-06,828.0,98rep6x1,True,Nintendo 64,True
9meo2kqz,n2y1y72o,2015-06-10,599.783,kj96nwj4,True,Nintendo 64,False
nz1572ry,n2y1y72o,2015-06-11,721.3,68www48g,True,Nintendo 64,False
7ylkg2rz,n2y1y72o,2015-06-24,599.0,zx7q5087,True,Nintendo 64,False
jy91ol2m,n2y1y72o,2015-06-25,598.09,zx7q5087,True,Nintendo 64,False
0y6r3kpy,n2y1y72o,2015-06-26,747.23,y8ddom86,True,Nintendo 64,True
jy917x2m,n2y1y72o,2015-06-27,713.4,18vnevjl,True,Nintendo 64,True
0y6r7qjy,n2y1y72o,2015-06-27,618.43,o862q0xz,True,Nintendo 64,False
9mr9ev7m,n2y1y72o,2015-07-01,614.34,o862q0xz,True,Nintendo 64,False
nz1oj0gm,n2y1y72o,2015-07-01,1069.0,pj02p48w,True,Nintendo 64,False
8yv997ez,n2y1y72o,2015-07-02,610.21,o862q0xz,True,Nintendo 64,False
9mr9ew2m,n2y1y72o,2015-07-02,768.999,zx7eeq87,True,Nintendo 64,False
8y8r2dxm,n2y1y72o,2015-07-02,694.27,18vnevjl,True,Nintendo 64,True
yle31pkz,n2y1y72o,2015-07-02,696.3,1xye0w8r,True,Nintendo 64,True
dy4ew4nm,n2y1y72o,2015-07-03,761.21,48geyyjp,True,Nintendo 64,True
wzpl8pvm,n2y1y72o,2015-07-08,704.37,e8epo6x0,True,Nintendo 64,False
0zn755vm,n2y1y72o,2015-07-10,625.458,qjn5p2jm,True,Nintendo 64,False
9mr9nd4m,n2y1y72o,2015-07-11,715.44,68www48g,True,Nintendo 64,False
pm3g7pqz,n2y1y72o,2015-07-12,609.88,o862q0xz,True,Nintendo 64,False
9mr9lrdm,n2y1y72o,2015-07-14,747.0,pj02p48w,True,Nintendo 64,True
kz53x5ey,n2y1y72o,2015-07-15,608.3,o862q0xz,True,Nintendo 64,False
1zq4945m,n2y1y72o,2015-07-15,596.4,zx7q5087,True,Nintendo 64,False
0y6rxq6y,n2y1y72o,2015-07-16,607.73,o862q0xz,True,Nintendo 64,False
pyd0g9wz,n2y1y72o,2015-07-16,727.11,zx7eeq87,True,Nintendo 64,False
7z098r4z,n2y1y72o,2015-07-21,763.087,0jmygnj1,True,Nintendo 64,False
nz1ovdjm,n2y1y72o,2015-07-26,662.93,7j4rlzv8,True,Nintendo 64,False
wzplod8m,n2y1y72o,2015-07-29,605.7,o862q0xz,True,Nintendo 64,False
wzplvw8m,n2y1y72o,2015-08-01,603.45,o862q0xz,True,Nintendo 64,False
0zn3n28y,n2y1y72o,2015-08-04,825.025,5j5odqxv,True,nzelreqp,False
8y8r5jwm,n2y1y72o,2015-08-06,601.5,o862q0xz,True,Nintendo 64,False
7z0jk4jy,n2y1y72o,2015-08-08,637.85,qjn91qxm,True,Nintendo 64,False
1zx6vlgz,n2y1y72o,2015-08-09,600.66,o862q0xz,True,Nintendo 64,False
1zx649ez,n2y1y72o,2015-08-10,870.026,v8l0p548,True,Nintendo 64,True
9yo92njy,n2y1y72o,2015-08-11,595.46,zx7q5087,True,Nintendo 64,False
nz181nry,n2y1y72o,2015-08-11,832.0,v8l0p548,True,Nintendo 64,True
kz507djy,n2y1y72o,2015-08-12,598.25,o862q0xz,True,Nintendo 64,False
pzgxwxjm,n2y1y72o,2015-08-14,609.51,e8eqqd80,True,Nintendo 64,True
6yj15n3y,n2y1y72o,2015-08-17,727.85,pj02p48w,True,Nintendo 64,True
0znoo0vy,n2y1y72o,2015-08-18,700.0,98rz73x1,True,Nintendo 64,True
1zq19erm,n2y1y72o,2015-08-18,728.0,48ggpr8p,True,Nintendo 64,True
6yj1e2gy,n2y1y72o,2015-08-18,728.7,48ggpr8p,True,Nintendo 64,True
ydqx5djm,n2y1y72o,2015-08-18,697.629,dx3gq28l,True,Nintendo 64,False
oy2vvl6z,n2y1y72o,2015-08-19,691.67,98rz73x1,True,Nintendo 64,True
pydrjk0z,n2y1y72o,2015-08-21,819.0,e8e95o2j,True,nzelreqp,False
pyd9ewvz,n2y1y72o,2015-08-22,890.0,0jm65e81,True,Nintendo 64,True
oy2veg7z,n2y1y72o,2015-08-22,864.0,0jmo31o8,True,Nintendo 64,True
jy9nlvez,n2y1y72o,2015-08-23,640.8,v81vd58p,True,Nintendo 64,True
7z06o8jz,n2y1y72o,2015-08-24,814.0,0jm65e81,True,Nintendo 64,True
oy28d29y,n2y1y72o,2015-08-26,716.482,e8e6v6oj,True,Nintendo 64,False
jy9nxjrz,n2y1y72o,2015-08-27,707.41,pj02p48w,True,Nintendo 64,True
wzp3gl8m,n2y1y72o,2015-08-28,693.37,v81406p8,True,Nintendo 64,False
9yo9d51y,n2y1y72o,2015-08-28,711.56,68www48g,True,Nintendo 64,False
dy42gwnm,n2y1y72o,2015-08-28,710.43,68www48g,True,Nintendo 64,False
8yv2p34m,n2y1y72o,2015-08-29,785.0,18qr1ojn,True,Nintendo 64,False
8y8v6xdz,n2y1y72o,2015-08-30,1070.0,18q3w0jn,True,Nintendo 64,True
0y66wvpy,n2y1y72o,2015-08-30,647.6,zx7q5087,True,Nintendo 64,False
8y8vlw1z,n2y1y72o,2015-08-30,647.6,zx7q5087,True,Nintendo 64,False
z13nx2jm,n2y1y72o,2015-08-30,843.0,o86e2pwx,True,Nintendo 64,True
9mr4rx8z,n2y1y72o,2015-08-31,771.41,qj2y3nl8,True,Nintendo 64,True
8yv2pl8m,n2y1y72o,2015-08-31,752.163,o86d9qjz,True,Nintendo 64,True
oy2vkw5z,n2y1y72o,2015-09-02,800.837,zx7qw3r8,True,Nintendo 64,True
pyd927qz,n2y1y72o,2015-09-02,800.837,zx7qw3r8,True,Nintendo 64,True
nz18kejy,n2y1y72o,2015-09-02,708.45,zx7qw3r8,True,Nintendo 64,True
pzgx850m,n2y1y72o,2015-09-02,702.0,68www48g,True,Nintendo 64,False
8m78n70z,n2y1y72o,2015-09-03,620.85,qxknr2x0,True,Nintendo 64,True
kz5elwdz,n2y1y72o,2015-09-03,693.17,qxko16m8,True,Nintendo 64,True
nz189g9y,n2y1y72o,2015-09-04,626.2,v81vd58p,True,Nintendo 64,True
pyd9n7qz,n2y1y72o,2015-09-04,699.0,1xyv7yxr,True,Nintendo 64,True
nz18ndjy,n2y1y72o,2015-09-04,713.023,qj266nxk,True,Nintendo 64,False
yl6lx3xy,n2y1y72o,2015-09-05,726.068,dx35qo6j,True,Nintendo 64,True
1zqgn8xm,n2y1y72o,2015-09-05,647.7,kj96nwj4,True,Nintendo 64,False
1zx6jgqz,n2y1y72o,2015-09-06,765.0,zx7q63r8,True,Nintendo 64,True
2yw0wx3m,n2y1y72o,2015-09-07,744.26,zx7qk1r8,True,Nintendo 64,True
pyd9vlvz,n2y1y72o,2015-09-07,677.3,pj0ypwxw,True,Nintendo 64,False
7z068r4z,n2y1y72o,2015-09-07,753.999,zx7q63r8,True,Nintendo 64,True
oy2vnl7z,n2y1y72o,2015-09-09,742.86,zx7q63r8,True,Nintendo 64,True
9mr4dodz,n2y1y72o,2015-09-09,723.35,zx7qk1r8,True,Nintendo 64,True
7ylojjny,n2y1y72o,2015-09-10,673.05,zxzree8q,True,Nintendo 64,True
jy9negrz,n2y1y72o,2015-09-10,795.3,5j5odqxv,True,nzelreqp,False
emkv383y,n2y1y72o,2015-09-10,783.17,kj96vpvj,True,Nintendo 64,True
pm3nv2dy,n2y1y72o,2015-09-10,696.86,68www48g,True,Nintendo 64,False
1zx6ppez,n2y1y72o,2015-09-11,658.0,7j4rlzv8,True,Nintendo 64,False
7ylo2dry,n2y1y72o,2015-09-12,647.24,o862q0xz,True,Nintendo 64,False
oy2v65jz,n2y1y72o,2015-09-13,751.89,5j5odqxv,True,nzelreqp,False
7ylk8wrz,n2y1y72o,2015-09-14,665.0,98rl5381,True,Nintendo 64,False
pzgx1rnm,n2y1y72o,2015-09-14,769.7,98rre381,True,Nintendo 64,False
6yj1r9gy,n2y1y72o,2015-09-14,658.6,18v56oej,True,Nintendo 64,False
nz18007y,n2y1y72o,2015-09-14,662.0,7j4rlzv8,True,Nintendo 64,False
1zqgnx1m,n2y1y72o,2015-09-14,724.01,18v50pvj,True,Nintendo 64,True
1zx6r3qz,n2y1y72o,2015-09-16,689.0,68www48g,True,Nintendo 64,False
7z064dez,n2y1y72o,2015-09-17,743.69,98rre381,True,Nintendo 64,False
oy2voxwz,n2y1y72o,2015-09-17,749.01,qxkopq68,True,Nintendo 64,True
9mr4g22z,n2y1y72o,2015-09-18,698.3,68wk3oq8,True,Nintendo 64,False
8y8d39xz,n2y1y72o,2015-09-21,661.0,zxzree8q,True,Nintendo 64,False
8m7dpjem,n2y1y72o,2015-09-21,1460.0,pj0ned48,True,Nintendo 64,True
8m7d1r4m,n2y1y72o,2015-09-22,803.77,18qo6djn,True,Nintendo 64,False
7z0rwrjz,n2y1y72o,2015-09-22,688.27,68www48g,True,Nintendo 64,False
6yjg4rgy,n2y1y72o,2015-09-27,656.49,zxzree8q,True,Nintendo 64,False
wzp1r58z,n2y1y72o,2015-09-29,843.0,v8l06gl8,True,Nintendo 64,True
7z0r5k4z,n2y1y72o,2015-09-30,937.0,qxko6v28,True,Nintendo 64,True
1zxgd95y,n2y1y72o,2015-10-01,822.0,v8l0oyv8,True,Nintendo 64,False
0zn1o43m,n2y1y72o,2015-10-03,666.5,68wk3oq8,True,Nintendo 64,False
7z0r61ez,n2y1y72o,2015-10-03,663.4,68wk3oq8,True,Nintendo 64,False
pm3rn7gm,n2y1y72o,2015-10-04,655.5,18v56oej,True,Nintendo 64,False
8y8dvwwz,n2y1y72o,2015-10-05,595.42,o862q0xz,True,Nintendo 64,False
9mr14p2z,n2y1y72o,2015-10-05,595.226,zx7q5087,True,Nintendo 64,False
dy4r2pnz,n2y1y72o,2015-10-05,941.0,dx3zd6jl,True,Nintendo 64,False
9mr114gz,n2y1y72o,2015-10-06,708.0,zx7q7d68,True,Nintendo 64,False
pydrrwxz,n2y1y72o,2015-10-06,667.69,48gergpj,True,Nintendo 64,True
emkvkrvy,n2y1y72o,2015-10-06,654.9,qjnz20dj,True,Nintendo 64,False
0zn1129m,n2y1y72o,2015-10-07,723.47,98rre381,True,Nintendo 64,False
jy999d2y,n2y1y72o,2015-10-07,655.39,zxzree8q,True,Nintendo 64,False
pzggg4vz,n2y1y72o,2015-10-08,846.0,18v90yxl,True,Nintendo 64,True
8yv1og6y,n2y1y72o,2015-10-08,653.67,zxzree8q,True,Nintendo 64,False
pydrervz,n2y1y72o,2015-10-08,602.38,e8eqqd80,True,Nintendo 64,True
jy993eny,n2y1y72o,2015-10-09,693.0,zx7q7d68,True,Nintendo 64,False
6yjgx4gy,n2y1y72o,2015-10-10,803.75,0jmo0ry8,True,Nintendo 64,True
1zq1765m,n2y1y72o,2015-10-12,862.0,0jmwo4x1,True,Nintendo 64,False
9mr17v8z,n2y1y72o,2015-10-14,773.0,v8l0oyv8,True,Nintendo 64,False
nz1rp7jm,n2y1y72o,2015-10-14,635.9,v8l66r8m,True,Nintendo 64,False
8m7dx64m,n2y1y72o,2015-10-16,650.06,zxzree8q,True,Nintendo 64,False
9yo7dq1m,n2y1y72o,2015-10-17,661.66,e8eqqd80,True,Nintendo 64,True
jy9963ky,n2y1y72o,2015-10-18,1345.595,qjo3l4nj,True,Nintendo 64,True
pydrgnxz,n2y1y72o,2015-10-18,651.7,68wk3oq8,True,Nintendo 64,False
7z0rno9z,n2y1y72o,2015-10-18,1123.0,qjo3l4nj,True,Nintendo 64,True
8m7d050m,n2y1y72o,2015-10-19,608.22,kj9z6w84,True,Nintendo 64,False
0y6d271m,n2y1y72o,2015-10-20,784.0,1xyrqyjr,True,Nintendo 64,False
nz1re99m,n2y1y72o,2015-10-21,664.68,v81dmq8p,True,Nintendo 64,False
pydrlnvz,n2y1y72o,2015-10-22,640.3,68wk3oq8,True,Nintendo 64,False
9yopl60m,n2y1y72o,2015-10-22,640.3,68wk3oq8,True,Nintendo 64,False
pzgglwvz,n2y1y72o,2015-10-24,892.6,dx3zd6jl,True,Nintendo 64,False
wzp16dgz,n2y1y72o,2015-10-25,637.0,qjn35vqx,True,Nintendo 64,True
1zq18l9m,n2y1y72o,2015-10-25,633.0,qjn35vqx,True,Nintendo 64,True
