run_id,category,date,time_seconds,player,verified,platform,emulator
mkqwwdvm,ndx31odq,2013-09-12,5996.0,v8l07zl8,True,Nintendo 64,False
mr2ddr2y,ndx31odq,2013-11-30,5982.0,zx723r87,True,Nintendo 64,False
zqdpp95m,ndx31odq,2014-10-16,5518.0,18qrrdjn,True,Nintendo 64,False
7yldp0rm,ndx31odq,2014-10-17,6600.0,7j424wx1,True,Nintendo 64,False
y6qjjx1z,ndx31odq,2014-10-25,5379.0,18qrrdjn,True,Nintendo 64,False
9mrnw0gy,ndx31odq,2014-11-09,5424.0,kjprzz08,True,Nintendo 64,False
pzg731vz,ndx31odq,2015-03-29,5339.0,18qrrdjn,True,Nintendo 64,False
wzplx0nm,ndx31odq,2015-07-24,7323.0,kj96nwj4,True,Nintendo 64,False
dy4elqnm,ndx31odq,2015-07-24,6512.0,kj96nwj4,True,Nintendo 64,False
0y6rgn1y,ndx31odq,2015-07-26,5856.0,kj96nwj4,True,Nintendo 64,False
7ylo9vxy,ndx31odq,2015-08-08,6394.0,qjnzw4jm,True,Nintendo 64,False
emk77gxy,ndx31odq,2015-08-18,5848.0,qjnzw4jm,True,Nintendo 64,False
y4lg4jkz,ndx31odq,2015-08-30,5813.0,v8l07zl8,True,Nintendo 64,False
9mr40k7z,ndx31odq,2015-09-07,6095.0,zxz9my98,True,Nintendo 64,False
pyd9vdwz,ndx31odq,2015-09-07,5755.0,kj96nwj4,True,Nintendo 64,False
2ywk9q9y,ndx31odq,2015-12-30,5654.0,kj96nwj4,True,Nintendo 64,False
0y6n4djz,ndx31odq,2016-01-13,9015.0,qj27y68k,True,Nintendo 64,False
0y6ne51z,ndx31odq,2016-01-24,7640.0,v8l66r8m,True,Nintendo 64,False
8y88g4wy,ndx31odq,2016-03-01,5624.0,18qlm0jn,True,Nintendo 64,False
1zq7ljxm,ndx31odq,2016-03-07,5405.0,18qlm0jn,True,Nintendo 64,False
dy4x903z,ndx31odq,2016-03-11,5379.0,18qlm0jn,True,Nintendo 64,False
oy2edw6y,ndx31odq,2016-03-18,5349.0,18qlm0jn,True,Nintendo 64,False
6yjdpldy,ndx31odq,2016-03-27,5337.0,18qlm0jn,True,Nintendo 64,False
7yl1gv3m,ndx31odq,2016-04-18,5314.0,18qlm0jn,True,Nintendo 64,False
1zxn97qm,ndx31odq,2016-04-19,6773.0,v8l66r8m,True,Nintendo 64,False
nz1qj79y,ndx31odq,2016-04-25,5313.0,18qlm0jn,True,Nintendo 64,False
nz1q8w7y,ndx31odq,2016-04-30,7057.0,qj27y68k,True,Nintendo 64,False
emk0383z,ndx31odq,2016-06-05,5293.0,18qlm0jn,True,Nintendo 64,False
