run_id,category,date,time_seconds,player,verified,platform,emulator
7z0e1o9m,zdn1jxkq,,2021.0,qjn5p2jm,True,Nintendo 64,False
jy98g5vz,zdn1jxkq,2012-03-13,2442.0,18q0lojn,True,Nintendo 64,False
oy2pvjwz,zdn1jxkq,2013-01-01,2136.0,5j5rrqxv,True,Nintendo 64,False
8yvg3qoy,zdn1jxkq,2013-10-15,2075.0,v8l07zl8,True,Nintendo 64,True
dy4w452m,zdn1jxkq,2013-10-27,2232.0,zx7q5087,True,Nintendo 64,False
9mek282m,zdn1jxkq,2013-10-28,2632.0,dx3mw78l,True,Nintendo 64,True
1zq64n9y,zdn1jxkq,2013-11-01,4009.0,qj2w9ojk,True,Nintendo 64,False
0y67ln6m,zdn1jxkq,2013-11-07,2052.0,o86v9pjz,True,Nintendo 64,False
7ylv3vxm,zdn1jxkq,2013-11-11,2331.0,0jmlpz81,True,Nintendo 64,False
6yjk6lgm,zdn1jxkq,2013-11-20,2069.0,qjnzw4jm,True,Nintendo 64,False
8m7p32em,zdn1jxkq,2013-12-01,4413.0,48grv1xp,True,Nintendo 64,False
dy447eky,zdn1jxkq,2013-12-13,2647.0,0jmpgoj1,True,nzelreqp,False
0y6l8dqy,zdn1jxkq,2014-01-02,2750.0,dx3qv2jl,True,Nintendo 64,True
0zn7e77m,zdn1jxkq,2014-03-09,2159.0,kj92nor8,True,Nintendo 64,False
yd5j8kvm,zdn1jxkq,2014-05-31,4593.0,dx35dm6j,True,Nintendo 64,True
8yvg9key,zdn1jxkq,2014-07-16,2339.743,e8e937j0,True,nzelreqp,False
9yo43gjm,zdn1jxkq,2014-07-22,2217.0,7j4vzlj1,True,Nintendo 64,True
nz15819y,zdn1jxkq,2014-09-25,2387.0,qj2pgp8k,True,Nintendo 64,False
yj3wpkgz,zdn1jxkq,2014-11-14,7391.0,v8l66r8m,True,Nintendo 64,True
yw4n310z,zdn1jxkq,2014-11-16,3209.0,v8l66r8m,True,Nintendo 64,True
oy25437y,zdn1jxkq,2014-11-29,2004.0,7j4veomj,True,Nintendo 64,False
yv3vrg6z,zdn1jxkq,2014-12-10,3045.0,v8l66r8m,True,Nintendo 64,False
pydqegvm,zdn1jxkq,2014-12-12,2284.0,68wl23jg,True,Nintendo 64,False
oy23rr9m,zdn1jxkq,2014-12-24,2382.97,v8l66r8m,True,Nintendo 64,False
