run_id,category,date,time_seconds,player,verified,platform,emulator
zq67kory,9d86vww2,2017-10-14,2335,zx7qwnr8,True,8gej2n93,False
y97v22rm,9d86vww2,2017-10-15,2212,zx7qwnr8,True,8gej2n93,False
z0ep51om,9d86vww2,2017-10-16,2293,7j4r73l8,True,8gej2n93,False
zq67wd8y,9d86vww2,2017-10-17,2453,7j43gv81,True,8gej2n93,False
yvgr918y,9d86vww2,2017-10-17,2102,7j4r73l8,True,8gej2n93,False
z5o23o5y,9d86vww2,2017-10-18,2491,7j4pkrlj,True,8gej2n93,False
y45qe4dm,9d86vww2,2017-10-18,2094,zx7qwnr8,True,8gej2n93,False
zn8poxlz,9d86vww2,2017-10-19,2357,7j43gv81,True,8gej2n93,False
yjkp1ngm,9d86vww2,2017-10-19,2277,48geq7pj,True,8gej2n93,False
zn8p168z,9d86vww2,2017-10-19,2310,zx7zw7y8,True,8gej2n93,False
mk4k5nvy,9d86vww2,2017-10-21,2061,zx7qwnr8,True,8gej2n93,False
z0epopom,9d86vww2,2017-10-21,2387,dx36le7x,True,8gej2n93,False
zn8pq88z,9d86vww2,2017-10-22,2243,dx36le7x,True,8gej2n93,False
yl97n4ky,9d86vww2,2017-10-23,2045,zx7qwnr8,True,8gej2n93,False
mk4kq1ly,9d86vww2,2017-10-25,2040,zx7qwnr8,True,8gej2n93,False
yo4pxvjm,9d86vww2,2017-10-26,2199,7j4465j1,True,8gej2n93,False
yw13xq0z,9d86vww2,2017-10-27,2726,pj0e2pr8,True,8gej2n93,False
z0epko4m,9d86vww2,2017-10-29,2192,48geq7pj,True,8gej2n93,False
yl978v3y,9d86vww2,2017-10-29,3541,98r1ngqj,True,8gej2n93,False
yvg098ey,9d86vww2,2017-11-05,2244,zx7zw7y8,True,8gej2n93,False
m3o9l4dm,9d86vww2,2017-11-10,2335,7j4qq2dx,True,8gej2n93,False
zgnq2o0y,9d86vww2,2017-11-12,2406,48gewr2j,True,8gej2n93,False
y67xewqm,9d86vww2,2017-11-15,3476,98r1ngqj,True,8gej2n93,False
yvg87wey,9d86vww2,2017-12-06,2303,7j43gv81,True,8gej2n93,False
zq3keory,9d86vww2,2017-12-11,2852,0jmqd4ex,True,8gej2n93,False
z0ej6v9m,9d86vww2,2017-12-15,2037,pj0n6l48,True,8gej2n93,False
y97838nm,9d86vww2,2017-12-16,2086,48geq7pj,True,8gej2n93,False
yvgplg4y,9d86vww2,2017-12-21,3097,98r1ngqj,True,8gej2n93,False
z0ejd28m,9d86vww2,2017-12-21,2032,zx7qwnr8,True,8gej2n93,False
z515e45m,9d86vww2,2017-12-23,2150,qjop4nex,True,8gej2n93,False
mekldk8m,9d86vww2,2017-12-24,2297,dx36pd2x,True,8gej2n93,False
zn8ern7z,9d86vww2,2017-12-30,2002,zx7qwnr8,True,8gej2n93,False
yo2vd9jz,9d86vww2,2017-12-30,2033,5j5q51zj,True,8gej2n93,False
m7937rey,9d86vww2,2018-01-02,1990,zx7qwnr8,True,8gej2n93,False
m3dk6ngz,9d86vww2,2018-01-02,2137,48gewr2j,True,8gej2n93,False
z5ok2edy,9d86vww2,2018-01-03,1956,zx7qwnr8,True,8gej2n93,False
zq6dpo9y,9d86vww2,2018-01-07,2260,qxk32478,True,8gej2n93,False
yw19100z,9d86vww2,2018-01-10,1966,pj0n6l48,True,8gej2n93,False
yj4ldody,9d86vww2,2018-01-15,3470,kjp23w4x,True,8gej2n93,False
yjkox1om,9d86vww2,2018-01-16,3418,qjogk4ex,True,8gej2n93,False
yjko83dm,9d86vww2,2018-01-17,3087,pj0ly9rj,True,8gej2n93,False
yj4jd2gy,9d86vww2,2018-01-22,2184,18vyp1y8,True,8gej2n93,False
yl4316rm,9d86vww2,2018-01-22,2184,18vyp1y8,True,8gej2n93,False
zgno3pdy,9d86vww2,2018-01-24,3058,qjogk4ex,True,8gej2n93,False
y8qp4wxy,9d86vww2,2018-01-31,2125,zx7z96r8,True,8gej2n93,False
y97dplem,9d86vww2,2018-02-03,2784,qjogk4ex,True,8gej2n93,False
z0eqk14m,9d86vww2,2018-02-04,5170,68wq9dv8,True,8gej2n93,False
z13v13jm,9d86vww2,2018-02-08,3985,68wq9dv8,True,8gej2n93,False
yw1wkk9z,9d86vww2,2018-02-10,2388,qjogk4ex,True,8gej2n93,False
yl9p69ny,9d86vww2,2018-02-12,2149,qxk32478,True,8gej2n93,False
zn895nlz,9d86vww2,2018-02-16,2155,zx7qwnr8,True,8gej2n93,False
z13v49wm,9d86vww2,2018-02-17,2240,zxz909e8,True,8gej2n93,False
yvg7r4oy,9d86vww2,2018-02-23,2331,v81mlq8p,True,8gej2n93,False
zxv0xx8y,9d86vww2,2018-02-28,3184,68wq9dv8,True,8gej2n93,False
mk4rvr1y,9d86vww2,2018-03-11,2511,1xy01wwj,True,8gej2n93,False
